,sentence
2079,"Lumukso|NNP ’|CDB t|NNCA sumubok|VBAF ang|DTC batang|NNC_CCP si|DTP Kingan|NNP .|PMP  
"
2080,"""|PMS Sa|CCT galaw|NNC ng|CCB mga|DTCP kamay|NNC ,|PMC virus|FW gagawing|VBTF_CCP talunan|NNC !|PMS  
"
2081,"""|PMS Lumitaw|VBAF ang|DTC maduming|JJD_CCP CoVully|FW ,|PMC Mabubuhay|VBTF kaya|CCR sila|PRP ?|PMQ
"
2082,"Hinarap|VBTS siya|PRS ni|DTP Kingan|NNP nang|RBW buong|PRI_CCP loob|NNC at|CCA isip|NNC ;|PMSC Umindak|NNP ,|PMC umawit|VBAF ,|PMC mga|DTCP buhay|NNC ay|LM sinagip|VBTS .|PMP
"
2083,"Sayaw|NNC ng|CCB palad|NNC at|CCA kamay|NNC ;|PMSC Kalarong|JJD_CCP sabon|NNC at|CCA tubig|NNC .|PMP
"
2084,"Hugasan|NNP ,|PMC hilurin|FW ;|PMSC Huwag|RBF mong|PRS_CCP bibiruin|VBTF .|PMP
"
2085,"Sakit|NNP ay|LM iwasan|VBOF ,|PMC virus|FW ay|LM talunin|VBOF ;|PMSC Sayaw|NNC ng|CCB palad|NNC at|CCA kamay|NNC .|PMP
"
2086,"Naalog|NNP ,|PMC nangatog|VBTS si|DTP CoVully|NNP ;|PMSC Mga|DTCP korona|NNC ’|PMS y|FW natigil|VBTS ,|PMC namanhid|VBTS at|CCA natunaw|VBTS .|PMP
"
2087,"Tunay|RBT na|CCP kapangyarihan|NNC ay|LM lumitaw|VBAF ;|PMSC Malilinis|VBTF na|CCP kamay|NNC ay|LM mangingibabaw|VBTR .|PMP
"
2088,"Sumilip|NNP at|CCA sumali|VBAF sa|CCT saliw|NNC ng|CCB oyayi|NNC nang|RBW matauhan|VBW ;|PMSC Winawagayway|VBTR ,|PMC sama|CCB -|PMS samang|NNC_CCP mga|DTCP kamay|NNC ng|CCB bayan|NNC .|PMP  
"
2089,"""|PMS Nasa|RBL atin|PRSP ang|DTC susi|NNC upang|CCB sa|CCT kalamidad|NNC ay|LM magwagi|VBW .|PMP  
"
2090,"""|PMS Habang|RBW natalo|VBTS at|CCA nawala|VBTS si|DTP CoVully|NNP .|PMP
"
2091,"Sa|CCT taas|NNC ng|CCB bundok|NNC ,|PMC may|VBH isang|PRI_CCP bayan|NNC –|PMS Ang|DTC munting|JJD_CCP Kamayanan|NNC .|PMP
"
2092,"Namuhay|VBTS silang|PRP_CCP tila|RBM mga|DTCP bathala|NNC mula|RBW noon|RBW ;|PMSC Sa|CCT ating|PRSP_CCP mga|DTCP kamay|NNC ,|PMC tatalunin|VBTF ang|DTC mga|DTCP hamon|NNC .|PMP
"
2093,"WAKAS|NNPA
"
2094,"""|PMS Tatay|NNC ,|PMC papasok|RBD na|CCP ba|RBI ako|PRS sa|CCT pasukan|NNC ?|PMQ  
"
2095,"""|PMS tanong|NNC ni|DTP Ping|NNP .|PMP  
"
2096,"""|PMS Sana|VBS .|PMP
"
2097,"Kaso|CCR hindi|RBF pa|RBI tayo|PRP sigurado|RBT kung|RBK kailan|RBQ ang|DTC pasukan|NNC dahil|CCR sa|CCT COVID|NNPA -|PMS .|PMP
"
2098,"Kaya|CCR dito|PRL ka|PRS muna|RBI mag|VBW -|PMS aaral|NNC sa|CCT bahay|NNC ,|PMC ""|PMS ang|DTC tugon|NNC ng|CCB kaniyang|PRSP_CCP ama|NNC .|PMP  
"
2099,"""|PMS Sino|PRQ po|RBS ang|DTC magiging|VBTF titser|FW ko|PRS ?|PMQ  
"
2100,"""|PMS ang|DTC nasasabik|VBTR na|CCP tanong|NNC ni|DTP Ping|NNP .|PMP  
"
2101,"""|PMS Ako|PRS siyempre|RBT o|CCT kaya|CCR si|DTP Nanay|NNP mo|PRS ,|PMC ""|PMS ang|DTC nakangiting|JJD_CCP tugon|NNC ni|DTP Tatay|NNP .|PMP  
"
2102,"""|PMS Ano|PRQ po|RBS ang|DTC ituturo|VBTF ninyo|PRP sa|CCT akin|PRSP ,|PMC Tatay|NNC ?|PMQ ""|PMS  
"
2103,"""|PMS Marami|PRI .|PMP
"
2104,"Tuturuan|RBW kitang|RBD_CCP magbasa|VBW ,|PMC magsulat|VBAF ,|PMC at|CCA magbilang|VBAF .|PMP
"
2105,"Magdodrowing|NNP din|RBI tayo|PRP ,|PMC ""|PMS ang|DTC tugon|NNC ng|CCB kaniyang|PRSP_CCP ama|NNC .|PMP
"
2106,"Napaisip|VBTS si|DTP Ping|NNP .|PMP  
"
2107,"""|PMS Wala|VBN naman|RBI tayong|PRP_CCP pisara|NNC .|PMP
"
2108,"Saan|PRQ po|RBS tayo|PRP magsusulat|VBTF ?|PMQ ""|PMS  
"
2109,"""|PMS Marami|PRI tayong|PRP_CCP malalaking|JJD_CCP karton|NNC ,|PMC Ping|NNC .|PMP
"
2110,"Igagawa|VBTS na|RBI lang|RBI kita|NNC .|PMP ""|PMS  
"
2111,"""|PMS Pero|CCT Tatay|NNC ,|PMC wala|VBN naman|RBI po|RBS tayong|PRP_CCP tsok|NNC .|PMP
"
2112,"Ano|PRQ po|RBS ang|DTC ipansusulat|VBTR natin|PRP ?|PMQ ""|PMS  
"
2113,"""|PMS Walang|VBN_CCP problema|NNC ,|PMC anak|NNC .|PMP
"
2114,"Marami|PRI pa|RBI tayong|PRP_CCP imbak|NNC na|CCP uling|NNC .|PMP
"
2115,"Iyon|PRO ang|DTC gagawin|VBTF nating|PRP_CCP tsok|NNC .|PMP ""|PMS  
"
2116,"""|PMS Eh|NNP ,|PMC ano|PRQ naman|RBI po|RBS ang|DTC gagamitin|VBTF kong|PRS_CCP pangkulay|JJD ?|PMQ ""|PMS  
"
2117,"""|PMS May|VBH mga|DTCP lumang|JJD_CCP pangkulay|JJD ang|DTC ate|FW mo.|NNCA .|PMP
"
2118,"Puwede|RBT mong|PRS_CCP gamitin|VBOF ang|DTC mga|DTCP iyon|PRO ,|PMC Ping|FW ,|PMC ""|PMS ang|DTC tugon|NNC ni|DTP Tatay|NNP .|PMP  
"
2119,"""|PMS Sana|VBS maging|VBW tatay|NNC na|CCP ako|PRS agad|RBW ,|PMC ""|PMS ang|DTC nasasabik|VBTR na|CCP wika|NNC ni|DTP Ping|NNP .|PMP  
"
2120,"""|PMS Ha|NNP ?|PMQ
"
2121,"At|CCA bakit|PRQ naman|RBI gusto|VBS mong|PRS_CCP maging|VBW tatay|NNC agad|RBW ?|PMQ  
"
2122,"""|PMS ang|DTC nagtatakang|VBTR wika|NNC ng|CCB kaniyang|PRSP_CCP ama|NNC .|PMP  
"
2123,"""|PMS Gusto|VBS ko|PRS kasing|JJCC maging|VBW titser|FW !|PMS
"
2124,"Ang|DTC tatay|NNC pala|NNC ay|LM titser|FW din|RBI ,|PMC ""|PMS ang|DTC masayang|JJD_CCP wika|NNC ni|DTP Ping|NNP .|PMP  
"
2125,"""|PMS Hahaha|NNP !|PMS
"
2126,"Ikaw|NNP talaga|RBT bunso|NNC ,|PMC pinatawa|VBTS mo|PRS si|DTP Tatay|NNP .|PMP
"
2127,"Hindi|RBF mo|PRS kailangang|VBS_CCP maging|VBW tatay|NNC para|CCT maging|VBW titser|FW .|PMP  
"
2128,"""|PMS Isang|PRI_CCP gabi|RBW ,|PMC habang|RBW maliwanag|JJD ang|DTC buwan|NNC .|PMP
"
2129,"Nakasimangot|RBD si|DTP Ason|NNP habang|RBW tinatanaw|VBTR ang|DTC mga|DTCP kalangitan|NNC .|PMP  
"
2130,"""|PMS Ason|NNP ,|PMC bakit|PRQ ka|PRS nakasimagot|VBTR ?|PMQ  
"
2131,"""|PMS Tanong|NNC ng|CCB kaniyang|PRSP_CCP Ulang|NNC_CCP Bayi|JJD na|CCP nagbubukas|VBTR ng|CCB nganga|NNC habang|RBW nakasakay|VBTS sa|CCT duyan|NNC .|PMP  
"
2132,"""|PMS Nilingon|VBTS niya|PRS ang|DTC matanda|JJD at|CCA sinabihan|VBOF na|CCP :|PMS ""|PMS Tuwing|RBW nakakakita|VBTR ako|PRS ng|CCB bilog|NNC na|CCP buwan|NNC at|CCA mga|DTCP bituin|NNC ay|LM nalulungkot|VBTR ako|PRS ,|PMC ""|PMS nakasimangot|JJD na|CCP sagot|NNC ni|DTP Kabugwasun|NNP .|PMP
"
2133,"Tiningnan|VBOF niya|PRS ang|DTC kaniyang|PRSP_CCP apo|NNC at|CCA ngumiti|VBAF .|PMP  
"
2134,"""|PMS Halika|NNP dito|PRL sa|CCT duyan|NNC dahil|CCR ikekwento|VBOF ko|PRS sa|CCT iyo|PRSP ang|DTC iba|PRI ’|PMS t|NNCA -|PMS ibang|PRI_CCP pormasyon|NNC ng|CCB mga|DTCP bituin|NNC ,|PMC ""|PMS pag|CCR -|PMS anyaya|NNC ni|DTP Ulang|NNP Bayi|NNP sa|CCT kaniyang|PRSP_CCP apo|NNC .|PMP  
"
2135,"""|PMS Sige|NNP ,|PMC Ulang|NNP !|PMS
"
2136,"Makikinig|VBTF ako|PRS ng|CCB mabuti|RBD sa|CCT iyo|PRSP .|PMP ""|PMS  
"
2137,"""|PMS Kapag|CCR lumulubog|VBTR_VBAF ang|DTC araw|NNC at|CCA lumilitaw|VBTR_VBAF ang|DTC buwan|NNC ,|PMC unti|JJD -|PMS unting|FW nagpapakita|VBTR ang|DTC iba|PRI ’|PMS t|NNCA -|PMS ibang|PRI_CCP pormasyon|NNC ng|CCB mga|DTCP bituin|NNC sa|CCT kalangitan|NNC ,|PMC ""|PMS paunang|JJD_CCP kwento|NNC ni|DTP Ulang|NNP Bayi|NNP kay|DTP Kabugwasun|NNP .|PMP  
"
2138,"""|PMS Moroporo|NNP ang|DTC tawag|NNC sa|CCT pormasyon|NNC na|CCP pabilog|JJD .|PMP
"
2139,"Ito|PRO ay|LM binubuo|VBTR ng|CCB pitong|JJN_CCP bituin|NNC .|PMP
"
2140,"Na|CCP nagiging|VBTR batayan|NNC ng|CCB ating|PRSP_CCP taon|NNC .|PMP ""|PMS  
"
2141,"""|PMS Balatik|NNP ang|DTC tawag|NNC sa|CCT pormasyon|NNC ng|CCB mga|DTCP bituin|NNC na|CCP kahugis|JJD ng|CCB armas|NNC na|CCP ginagamit|VBTR sa|CCT paghuli|NNC ng|CCB baboy|NNC -|PMS ramo|NNC .|PMP  
"
2142,"""|PMS Mayroong|VBH_CCP isang|PRI_CCP pormasyon|NNC na|CCP mahirap|RBD hanapin|VBOF ,|PMC Sampuk|NNP -|PMS maya|NNC kung|CCR tawagin|VBOF .|PMP
"
2143,"Madalas|RBD itong|PRO_CCP makita|VBW sa|CCT gitna|JJD ng|CCB Balatik|NNP at|CCA Moroporo|NNP .|PMP ""|PMS  
"
2144,"""|PMS Ang|DTC Krus|NNP nga|RBI Nagatabuli|VBTS ,|PMC itinuturing|VBTR na|CCP orasan|NNC ng|CCB mga|DTCP mangingisda|NNC at|CCA mga|DTCP tumanduk|VBAF .|PMP  
"
2145,"""|PMS Kung|CCR ito|PRO ay|LM nakabaliktad|VBTS ,|PMC ibig|VBS sabihan|VBOF ay|LM ,|PMC alas|FW tres|FW na|CCP ng|CCB umaga|NNC .|PMP ""|PMS  
"
2146,"""|PMS Ang|DTC pormasyon|NNC ng|CCB mga|DTCP bituin|NNC ang|DTC nagsisilbing|VBTR_CCP giya|NNC ng|CCB mga|DTCP tumanduk|VBAF sa|CCT pagsasaka|NNC ,|PMC pangingisda|NNC ,|PMC ang|DTC panghuhuli|NNC ng|CCB hayop|NNC ,|PMC ""|PMS dagdag|JJD pa|RBI ni|DTP Ulang|NNP Bayi|NNP .|PMP  
"
2147,"""|PMS Eh|NNP ,|PMC Ason|NNP meron|VBH akong|PRS_CCP ipapahula|VBOF sa|CCT iyo|PRSP :|PMS Ano|PRQ ang|DTC pinakamalapit|JJCS_JJD na|CCP bituin|NNC sa|CCT atin|PRSP ?|PMQ ""|PMS  
"
2148,"""|PMS Hmmm|NNP .|PMP
"
2149,"Hindi|RBF ko|PRS po|RBS alam|VBS kung|RBK ano|RBQ ,|PMC Ulang|NNC .|PMP  
"
2150,"""|PMS Nahirapan|VBTS sa|CCT pag|CCR -|PMS iisip|VBOF si|DTP Kabugwasun|NNP .|PMP  
"
2151,"""|PMS Araw|NNP .|PMP
"
2152,"Ang|DTC araw|NNC ay|LM isa|PRI ring|RBI_CCP bituin|NNC .|PMP
"
2153,"Ito|PRO ang|DTC pinakamalapit|JJCS_JJD sa|CCT atin|PRSP .|PMP
"
2154,"May|VBH iba|PRI ’|PMS t|NNCA -|PMS ibang|PRI_CCP klase|NNC ng|CCB bituin|NNC .|PMP
"
2155,"May|VBH taglay|JJD na|CCP pagkakaiba|NNC ito|PRO batay|RBR sa|CCT kanilang|PRSP_CCP kulay|NNC ,|PMC panahon|NNC ,|PMC laki|NNC ,|PMC liwanag|NNC ,|PMC at|CCA init|NNC .|PMP ""|PMS  
"
2156,"""|PMS Ay|NNP ,|PMC talaga|RBT ,|PMC Ulang|NNC ?|PMQ
"
2157,"Ang|DTC araw|NNC pala|NNC ay|LM isang|PRI_CCP ring|RBI_CCP bituin|NNC ?|PMQ ""|PMS  
"
2158,"""|PMS Oo|RBT ,|PMC Ason|NNP .|PMP
"
2159,"Kulay|NNP dilaw|JJD na|CCP mapula|NNC -|PMS pula|JJD ang|DTC bituing|NNC_CCP ito|PRO na|CCP siyang|PRS_CCP nagbibigay|VBTR liwanag|NNC sa|CCT ating|PRSP_CCP mundo|NNC !|PMS ""|PMS  
"
2160,"""|PMS Ah|RBJ ,|PMC ganiyan|PRC_CCP pala|NNC ...|PMS Oh|NNP !|PMS  
"
2161,"""|PMS Biglang|RBD_CCP sumigaw|VBAF si|DTP Kabugwasun|NNP .|PMP  
"
2162,"""|PMS Nakita|VBTS mo|PRS ba|RBI yun|PRO ,|PMC Ulang|NNC ?|PMQ
"
2163,"Bakit|PRQ nahuhulog|VBTR ang|DTC mga|DTCP bituing|NNC_CCP yun|PRO ?|PMQ  
"
2164,"""|PMS Lumaki|VBAF ang|DTC mga|DTCP mata|NNC ni|DTP Kabugwasun|NNP sa|CCT kaniyang|PRSP_CCP nakita|VBTS .|PMP  
"
2165,"""|PMS Ah|RBJ !|PMS
"
2166,"Bulalakaw|NNP ang|DTC nakita|VBTS mo.|NNCA .|PMP
"
2167,"Bulalakaw|NNP ang|DTC tawag|NNC sa|CCT nahuhulog|VBTR na|CCP mga|DTCP bituin|NNC .|PMP
"
2168,"Kung|CCR nahulog|VBTS na|RBI sila|PRP sa|CCT lupa|NNC ,|PMC Dulis|NNP na|CCP ang|DTC tawag|NNC dito|PRL ,|PMC ""|PMS pagpapaliwanag|NNC ni|DTP Ulang|NNP Bayi|NNP .|PMP  
"
2169,"""|PMS Ay|NNP ,|PMC ganun|PRC pala|NNC !|PMS  
"
2170,"""|PMS Madami|PRI talaga|RBT akong|PRS_CCP natutunan|VBTR ngayong|RBW_CCP gabi|RBW .|PMP
"
2171,"Ano|PRQ pa|RBI Ulang|RBI ?|PMQ
"
2172,"Gusto|VBS ko|PRS pang|RBI_CCP makinig|VBW sa|CCT iyo|PRSP .|PMP ""|PMS  
"
2173,"""|PMS Bago|RBW tayo|PRP matulog|VBW ,|PMC Ason|NNP ,|PMC kailangan|VBS mo|PRS rin|RBI malaman|VBW na|CCP ikaw|PRS ay|LM ...|PMS ""|PMS ""|PMS Na|CCP ano|PRQ ,|PMC Ulang|NNC ?|PMQ ""|PMS  
"
2174,"""|PMS Ikaw|NNP ,|PMC ay|LM isa|PRI ring|RBI_CCP bituin|NNC .|PMP ""|PMS  
"
2175,"""|PMS Ha|NNP ?|PMQ
"
2176,"Paano|PRQ ako|PRS naging|VBTS isang|PRI_CCP bituin|NNC ,|PMC Ulang|NNC ?|PMQ ""|PMS  
"
2177,"""|PMS Ang|DTC iyong|PRSP_CCP palayaw|NNC na|CCP Ason|NNP ay|LM nanggaling|VBTS sa|CCT salitang|NNC_CCP Kabugwasun|NNP .|PMP
"
2178,"Kabugwasun|NNP ang|DTC tawag|NNC sa|CCT maliwanang|JJD na|CCP bituin|NNC tuwing|RBW madaling|RBD_CCP araw|NNC .|PMP
"
2179,"Para|CCT sa|CCT akin|PRSP ,|PMC isa|PRI ka|PRS ring|RBI_CCP pinakamamahal|JJCS_JJD na|CCP bituin|NNC na|CCP iniwan|VBOF sa|CCT akin|PRSP ng|CCB iyong|PRSP_CCP Nanay|NNC at|CCA Tatay|NNC ,|PMC ""|PMS pagpapaliwanag|NNC ni|DTP Ulang|NNP Bayi|NNP .|PMP  
"
2180,"""|PMS Miss|NNP na|CCP miss|FW ko|PRS na|CCP talaga|RBT sila|PRP Nanay|NNP at|CCA Tatay|NNC .|PMP
"
2181,"Kaya|CCR pala|NNC ako|PRS laging|RBW_CCP nalulungkot|VBTR tuwing|RBW nakakakita|VBTR ako|PRS ng|CCB buwan|NNC at|CCA mga|DTCP bituin|NNC ,|PMC ""|PMS sabi|VBS ni|DTP Kabugwasun|NNP .|PMP  
"
2182,"""|PMS Ason|NNP ,|PMC sa|CCT iyong|PRSP_CCP pagkalungkot|VBW ay|LM tandaad|VBTF mo|PRS na|CCP palagi|RBW kang|PRS_CCP ginagabayan|VBTR ng|CCB iyong|PRSP_CCP Nanay|NNC at|CCA Tatay|NNC .|PMP
"
2183,"Isa|PRI sila|PRP sa|CCT libo|NNC -|PMS libong|JJN_CCP mga|DTCP bituin|NNC na|CCP nagkikislapan|VBTS sa|CCT gabi|RBW ,|PMC ""|PMS pagpapaliwanag|NNC ni|DTP Ulang|NNP Bayi|NNP .|PMP  
"
2184,"""|PMS Maraming|PRI_CCP salamat|RBS ,|PMC Ulang|NNC .|PMP
"
2185,"Kahit|CCT na|CCP wala|VBN na|RBI sina|DTPP Nanay|NNP at|CCA Tatay|NNC ,|PMC nandito|VBTS ka|PRS parin|VBOF na|CCP nagmamahal|VBTR sa|CCT akin|PRSP ,|PMC ""|PMS pahayag|NNC ni|DTP Kabugwasun|NNP habang|RBW mahigpit|JJD na|CCP nakayap|VBTS kay|DTP Ulang|NNP Bayi|NNP .|PMP
"
2186,"Talasalitaan|NNP :|PMS Ulang|NNP -|PMS lola|NNC
"
2187,"""|PMS Mama|NNC ,|PMC bakit|PRQ po|RBS palagi|RBW tayong|PRP_CCP naghuhugas|VBTR ng|CCB ating|PRSP_CCP mga|DTCP kamay|NNC ?|PMQ
"
2188,"tanong|NNC ni|DTP Tamtam|NNP .|PMP
"
2189,"Hindi|RBF sumagot|VBAF ang|DTC kaniyang|PRSP_CCP ina|NNC .|PMP
"
2190,"Tahimik|JJD lang|RBI ito|PRO habang|RBW binabanlawan|VBTR ang|DTC mga|DTCP kamay|NNC ni|DTP Tamtam|NNP .|PMP
"
2191,"Panay|NNP ang|DTC tanong|NNC ni|DTP Tamtam|NNP habang|RBW pinupunasan|VBTR ng|CCB ina|NNC ang|DTC kaniyang|PRSP_CCP mga|DTCP kamay|NNC .|PMP  
"
2192,"""|PMS Bakit|PRQ po|RBS lagi|RBW kayong|NNC_CCP naglalagay|VBTR ng|CCB alkohol|NNC sa|CCT kamay|NNC bago|RBW pumasok|VBAF sa|CCT bahay|NNC kapag|CCR galing|RBL kayo|PRP sa|CCT trabaho|NNC ?|PMQ  
"
2193,"""|PMS tanong|NNC ni|DTP Tamtam|NNP .|PMP
"
2194,"Hindi|RBF pa|RBI rin|RBI sumasagot|VBTR_VBAF ang|DTC ina|NNC .|PMP
"
2195,"Hinawakan|VBOF nito|PRO ang|DTC kamay|NNC ni|DTP Tamtam|NNP at|CCA naglakad|VBTS sila|PRP patungo|RBL sa|CCT mesa|NNC para|CCT maghapunan|VBW .|PMP  
"
2196,"""|PMS Mama|NNP ,|PMC bakit|PRQ po|RBS kayo|PRP nagsusuot|VBTR ng|CCB mask|FW kapag|CCR lumalabas|VBTR_VBAF kayo|PRP ?|PMQ  
"
2197,"""|PMS tanong|NNC ni|DTP Tamtam|NNP na|CCP malungkot|JJD na|CCP dahil|CCR hindi|RBF sumasagot|VBTR_VBAF ang|DTC ina|NNC .|PMP  
"
2198,"""|PMS Tamtam|NNP ,|PMC gusto|VBS mo|PRS bang|RBM marinig|VBW ang|DTC kwento|NNC ni|DTP Kara|NNP at|CCA ng|CCB kaniyang|PRSP_CCP mga|DTCP kaibigan|NNC ?|PMQ  
"
2199,"""|PMS tanong|NNC ni|DTP mama|NNC .|PMP  
"
2200,"""|PMS Sige|NNP po|RBS ,|PMC mama|NNC !|PMS  
"
2201,"""|PMS excited|FW na|CCP sabi|VBS ni|DTP Tamtam|NNP .|PMP  
"
2202,"""|PMS Sige|NNP ,|PMC makinig|VBW ka|PRS nang|RBW mabuti|RBD .|PMP  
"
2203,"""|PMS Sa|CCT palasyo|NNC ng|CCB Mediko|NNP ,|PMC may|VBH tatlong|JJN_CCP magkakaibigan|VBTF ,|PMC si|DTP Kara|NNP ,|PMC Sabby|NNP ,|PMC at|CCA Alco|NNP .|PMP
"
2204,"Nasa|RBL palasyo|NNC lahat|PRI ng|CCB kabutihan|NNC at|CCA doon|PRL lahat|PRI ay|LM malakas|JJD ang|DTC pangangatawan|NNC .|PMP
"
2205,"Kaya|CCR naman|RBI lagi|RBW nila|PRP itong|PRO_CCP binabantayan|VBTR .|PMP
"
2206,"Magulo|JJD ang|DTC pangit|JJD na|CCP si|DTP Covy|NNP ,|PMC nakasakay|VBTS sa|CCT bulang|NNC_CCP matinik|JJD .|PMP
"
2207,"Dala|VBS niya|PRS ’|PMS y|FW bakterya|NNC na|CCP nakakatakot|VBTR !|PMQ
"
2208,"Sa|CCT mga|DTCP tao|NNC siya|PRS ’|PMS y|FW mahilig|JJD makialam|VBW .|PMP
"
2209,"Hindi|RBF napansin|VBTS ni|DTP Sabby|NNP ang|DTC pag|CCR -|PMS atake|NNC ni|DTP Covy|NNP kaya|CCR naubusan|VBTS siya|PRS ng|CCB tubig|NNC at|CCA si|DTP Covy|NNP ay|LM nakatakas|VBTS .|PMP
"
2210,"Hindi|RBF nagpapaawat|VBTR si|DTP Covy|NNP kaya|CCR tumulong|VBAF si|DTP Alco|NNP gamit|VBS ang|DTC asido|NNC .|PMP
"
2211,"Kaya|CCR si|DTP Covy|NNP ay|LM umusok|VBAF .|PMP
"
2212,"Malakas|JJD ang|DTC kalaban|NNC .|PMP  
"
2213,"""|PMS Kara|NNP ,|PMC depensa|NNC !|PMS  
"
2214,"""|PMS sigaw|NNC ng|CCB dalawa|CDB .|PMP  
"
2215,"""|PMS Si|DTP Covy|NNP malapit|JJD na|CCP ,|PMC dala|JJD niya|PRS ang|DTC epidemya|NNC !|PMS  
"
2216,"""|PMS Tumulong|VBAF si|DTP Kara|NNP .|PMP
"
2217,"Gumawa|VBAF siya|PRS ng|CCB panangga|NNC gamit|VBS ang|DTC manipis|JJD na|CCP tela|NNC .|PMP
"
2218,"Binalot|VBTS niya|PRS ang|DTC palasyo|NNC .|PMP
"
2219,"Si|DTP Covy|NNP hindi|RBF makalusot|VBW .|PMP
"
2220,"Bitbit|NNP pauwi|NNC ang|DTC mga|DTCP bakteryang|JJD_CCP nakakatakot|RBD ;|PMSC nanghina|VBTS na|RBI at|CCA natakot|VBTS ,|PMC tumakas|VBAF siya|PRS gamit|VBS ang|DTC sasakyang|NNC_CCP bulok|JJD .|PMP  
"
2221,"""|PMS Yay|NNP !|PMS
"
2222,"Ang|DTC galing|RBL po|RBS pala|NNC nila|PRP Kara|NNP !|PMS  
"
2223,"""|PMS masayang|JJD_CCP wika|NNC ni|DTP Tamtam|NNP .|PMP  
"
2224,"""|PMS Nang|RBW mabalitaan|VBW ng|CCB hari|NNC at|CCA reyna|NNC ang|DTC nangyari|VBTS ,|PMC nagdagdag|VBTS sila|PRP ng|CCB mga|DTCP bantay|NNC sa|CCT palasyo|NNC .|PMP
"
2225,"May|VBH mga|DTCP bago|RBW nang|RBD kasama|CCB sina|DTPP Kara|NNP ;|PMSC Si|DTP Susie|NNP na|CCP mahilig|JJD kumain|VBAF ng|CCB masustansya|JJD .|PMP
"
2226,"Si|DTP Resty|NNP na|CCP laging|JJD_CCP natutulog|VBTR sa|CCT tamang|JJD_CCP oras|NNC .|PMP
"
2227,"Si|DTP Vicky|NNP na|CCP hindi|RBF natatakot|VBTR magpabakuna|VBW .|PMP
"
2228,"Si|DTP Dexter|NNP na|CCP mahilig|JJD mag|VBW -|PMS ehersisyo|NNC .|PMP
"
2229,"Natakot|VBTS si|DTP Covy|NNP na|CCP bumalik|VBAF sa|CCT palasyo|NNC nang|CCB mabalitaang|RBD_CCP marami|PRI nang|CCB kasama|CCB sina|DTPP Kara|NNP .|PMP  
"
2230,"""|PMS patuloy|RBD na|CCP pagkukwento|VBW ng|CCB ina|NNC .|PMP  
"
2231,"""|PMS Masustansya|NNP po|RBS ba|RBI ang|DTC hapunan|NNC natin|PRP ,|PMC mama|NNC ?|PMQ  
"
2232,"""|PMS tanong|NNC ni|DTP Tamtam|NNP .|PMP  
"
2233,"""|PMS Oo|RBT ,|PMC Tamtam|NNC ,|PMC ang|DTC pinakbet|FW ay|LM iba|PRI -|PMS ibang|PRI_CCP uri|NNC ng|CCB gulay|NNC ,|PMC isda|NNC at|CCA hipon|NNC kaya|CCR masustansya|VBW ito|PRO .|PMP
"
2234,"Uminom|VBAF ka|PRS ng|CCB tubig|NNC at|CCA magtoothbrush|VBTF_VBAF agad|RBW dahil|CCR matutulog|JJD tayo|PRP ng|CCB maaga|JJD .|PMP  
"
2235,"""|PMS mahinahong|JJD_CCP tugon|NNC ng|CCB ina|NNC .|PMP
"
2236,"Sinunod|VBTS ni|DTP Tamtam|NNP ang|DTC utos|NNC ng|CCB ina|NNC .|PMP  
"
2237,"""|PMS Salamat|RBS po|RBS mama|NNC sa|CCT iyong|PRSP_CCP kwento|NNC .|PMP
"
2238,"Marami|PRI akong|PRS_CCP natutunan|VBTS ,|PMC ""|PMS wika|NNC ni|DTP Tamtam|NNP .|PMP
"
2239,"Si|DTP Kokoy|NNP ay|LM naninirahan|VBTR malapit|JJD sa|CCT dagat|NNC .|PMP
"
2240,"Tuwing|RBW hapon|RBW ay|LM isinasama|VBTR siya|PRS ng|CCB kaniyang|PRSP_CCP Lolo|NNC sa|CCT pamimingwit|NNC ng|CCB isda|NNC o|CCT panghuhuli|NNC ng|CCB mga|DTCP alimasag|NNC .|PMP
"
2241,"Isang|PRI_CCP araw|NNC ,|PMC habang|RBW sumisilong|VBTR_VBAF sila|PRP sa|CCT lilim|NNC ng|CCB puno|NNC ng|CCB Talisay|NNP ay|LM nakakita|VBTS siya|PRS ng|CCB isang|PRI_CCP hayop|NNC na|CCP gumagapang|VBTR_VBAF sa|CCT buhangin|NNC .|PMP
"
2242,"Hinuli|VBTS niya|PRS ito|PRO at|CCA iniuwi|VBTS sa|CCT kanilang|PRSP_CCP bahay|NNC .|PMP  
"
2243,"""|PMS Lola|NNP ,|PMC may|VBH nakita|VBTS akong|PRS_CCP hayop|NNC sa|CCT buhangin|NNC .|PMP
"
2244,"Ano|PRQ ang|DTC tawag|NNC dito|PRL ?|PMQ ""|PMS  
"
2245,"""|PMS Ay|RBF naku|VBTS ,|PMC Kokoy|NNP !|PMS
"
2246,"Umang|NNP -|PMS umang|NNC_CCP iyan|PRO .|PMP
"
2247,"Ano|PRQ ang|DTC gagawin|VBTF mo|PRS diyan|PRL ?|PMQ ""|PMS  
"
2248,"""|PMS Gagawin|VBTF ko|PRS sana|VBS siyang|PRS_CCP alaga|NNC .|PMP ""|PMS  
"
2249,"""|PMS Naku|NNP ,|PMC Kokoy|NNP !|PMS
"
